,mfc1,mfc2,mfc3,mfc4,x1,y1,s1,x2,y2,s2,x3,y3,s3,n,split
163.0,0.428961515426636,0.248314499855042,0.230824798345566,0.32814621925354,0.3225,0.2115,0.6,0.001525,0.47905,0.45,0.410375,0.8968,0.45,3,train
164.0,0.209728613495827,0.164724752306938,0.2323217689991,0.462374269962311,0.343375,0.473825,0.3,0.177,0.774075,0.6,0.51895,0.843225,0.45,3,train
165.0,0.359545409679413,0.281743317842484,0.479100108146667,0.567056238651276,0.0367,0.609825,0.6,0.461675,0.73995,0.6,0.841225,0.864625,0.45,3,train
166.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
167.0,0.364020466804504,0.105116568505764,0.0884005799889565,0.140394419431686,0.005775,0.25675,0.6,,,,,,,1,train
168.0,0.293945759534836,0.311732709407806,0.203162625432014,0.246624872088432,0.54555,0.17435,0.6,0.781425,0.48875,0.3,0.136025,0.592875,0.45,3,train
169.0,0.0206737592816353,0.0171325914561749,0.0231025218963623,0.0549623817205429,0.296775,0.825175,0.3,,,,,,,1,train
170.0,0.120924197137355,0.161444664001465,0.529302775859833,0.163366630673409,0.791325,0.73965,0.6,0.88975,0.95745,0.45,,,,2,train
171.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
172.0,0.029760392382741,0.0258055534213781,0.0229229684919119,0.0330979265272617,0.45435,0.442125,0.3,,,,,,,1,train
173.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
174.0,0.0903717949986458,0.197857201099396,0.0852748453617096,0.259146511554718,0.865675,0.135375,0.45,0.299925,0.658225,0.3,0.092025,0.86915,0.45,3,train
175.0,0.113867625594139,0.075285516679287,0.09391088783741,0.410573661327362,0.00305,0.788625,0.6,,,,,,,1,train
176.0,0.0196495037525892,0.0492174476385117,0.0179135538637638,0.019779272377491,0.801025,0.189625,0.3,,,,,,,1,train
177.0,0.113861285150051,0.0363899618387222,0.0915623232722282,0.0629865378141403,0.10625,0.0659,0.3,0.176475,0.54345,0.3,0.951375,0.859975,0.3,3,train
179.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
180.0,0.303667187690735,0.156750246882439,0.109973140060901,0.146312177181244,0.31255,0.1959,0.6,,,,,,,1,train
181.0,0.186706200242043,0.18809449672699,0.319602400064468,0.318217247724533,0.52905,0.74345,0.6,0.490775,0.86125,0.45,,,,2,train
182.0,0.0532306581735611,0.0373687706887722,0.0732425302267075,0.0467329807579517,0.273525,0.291775,0.3,0.8444,0.8105,0.3,,,,2,train
184.0,0.151534929871559,0.100664287805557,0.10079788416624,0.144468352198601,0.01175,0.411625,0.45,0.64245,0.322275,0.3,0.493325,0.9419,0.3,3,train
185.0,0.0314643755555153,0.0506738238036633,0.0931157395243645,0.0507657863199711,0.767775,0.36975,0.3,0.8356,0.9863,0.3,,,,2,train
186.0,0.13214011490345,0.0734656602144241,0.0678832679986954,0.123877108097076,0.048975,0.372375,0.3,0.286175,0.44485,0.45,,,,2,train
187.0,0.081438347697258,0.0625418573617935,0.0939070507884026,0.160536259412766,0.10705,0.6566,0.45,0.847125,0.709025,0.3,,,,2,train
188.0,0.184995591640472,0.272964596748352,0.268552452325821,0.201625898480415,0.92755,0.144325,0.3,0.35545,0.2607,0.3,0.70075,0.58375,0.6,3,train
189.0,0.0598441772162914,0.0598473474383354,0.0712321326136589,0.0804105773568153,0.51375,0.581375,0.45,,,,,,,1,train
190.0,0.13168440759182,0.0397563688457012,0.0336304716765881,0.063091017305851,0.0449,0.264525,0.45,,,,,,,1,train
191.0,0.21557429432869,0.130234017968178,0.130015984177589,0.220203369855881,0.233,0.497525,0.6,,,,,,,1,train
192.0,0.130382061004639,0.0505450367927551,0.034791324287653,0.0487408079206944,0.2669,0.097925,0.45,,,,,,,1,train
193.0,0.210548400878906,0.245024904608727,0.374016374349594,0.254346579313278,0.299175,0.48925,0.3,0.644775,0.565625,0.6,0.712675,0.919875,0.45,3,train
194.0,0.209795296192169,0.47203665971756,0.309776991605759,0.240174561738968,0.95495,0.15285,0.45,0.7674,0.419025,0.6,0.50355,0.956425,0.45,3,train
195.0,0.186692342162132,0.190081477165222,0.197701409459114,0.222168311476707,0.08355,0.70145,0.3,0.540075,0.511275,0.6,,,,2,train
196.0,0.0578270629048347,0.0640759468078613,0.0849146842956543,0.0792887061834335,0.58425,0.6119,0.45,,,,,,,1,train
197.0,0.0175203215330839,0.0480102375149727,0.0197316780686378,0.0219050273299217,0.889725,0.26095,0.3,,,,,,,1,train
198.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
199.0,0.0405375398695469,0.0709590241312981,0.0473740771412849,0.0461659766733646,0.803325,0.2632,0.3,0.623075,0.500025,0.3,,,,2,train
200.0,0.515123188495636,0.0629794001579285,0.0466593056917191,0.0706962719559669,0.118425,0.055975,0.6,,,,,,,1,train
201.0,0.164190113544464,0.239218845963478,0.378521651029587,0.20072540640831,0.65795,0.656,0.45,0.8496,0.6241,0.6,,,,2,train
202.0,0.0163243487477303,0.023407444357872,0.0427301898598671,0.0264487564563751,0.962375,0.6492,0.3,,,,,,,1,train
203.0,0.0329647101461887,0.0417249985039234,0.156231999397278,0.0527420490980148,0.8369,0.8326,0.45,,,,,,,1,train
204.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
205.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
