MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,mfc6_residual,mfc7_residual,mfc8_residual,mfc9_residual,mfc10_residual,mfc1_residual,mfc2_residual,mfc3_residual,mfc4_residual,mfc5_residual,tot_residual_flow
0.0966,0.0773,0.0275,0.0121,0.0255,0.0492,0.0401,0.022,0.0117,0.0,0.362,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0,0.0121,0.0392,0.1296,0.0,0.0,0.0121,0.0366,0.1254,0.355,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0477,0.1988,0.0319,0.0137,0.0116,0.0268,0.0271,0.0197,0.012,0.0089,0.3982,0,0.0079,0.016,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0343
0.0615,0.0439,0.0209,0.0,0.0,0.1666,0.0556,0.0215,0.0,0.0,0.37,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0462,0.0356,0.0201,0.011,0.0205,0.1775,0.0444,0.0177,0.011,0.0,0.384,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0,0.0,0.0105,0.032,0.084,0.0,0.0,0.0109,0.0354,0.1753,0.3481,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0,0.0122,0.0452,0.1469,0.0,0.0,0.0101,0.0335,0.0786,0.3265,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.0112,0.0156,0.017,0.0349,0.1114,0.0111,0.0134,0.0144,0.0333,0.1159,0.3782,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.1173,0.0543,0.0226,0.0094,0.0,0.07,0.0443,0.0206,0.0088,0.0,0.3473,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0645,0.1168,0.0499,0.0198,0.0292,0.0475,0.0531,0.035,0.018,0.01,0.4438,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0866,0.101,0.0321,0.0093,0.0,0.046,0.0427,0.023,0.0,0.0,0.3407,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0439,0.0696,0.0394,0.018,0.0293,0.0406,0.054,0.0344,0.0155,0.0097,0.3544,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0562,0.04,0.0212,0.0126,0.0289,0.1369,0.0457,0.0201,0.0126,0.0094,0.3836,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
0.0479,0.0369,0.0216,0.0149,0.0315,0.151,0.0429,0.0206,0.0145,0.0127,0.3945,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
