Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Hamburg,24421.0,5160.0,259.0,1841179.0,2802.5520603917385,755.09,42.592449457657295,23.74895270100123,601494.0,903430.0,336255.0,2438.357017044326,0.0
Hameln-Pyrmont,21291.999999999996,133.0,7.0,148559.0,895.2672002369428,797.54,47.517047099132334,25.01975048675208,41477.0,69390.0,37692.0,186.27153497003286,0.0
Hamm,18006.0,500.0,36.0,179111.0,2791.565007174322,226.43,44.20251687501047,24.475362916274157,57661.0,84110.0,37340.0,791.0215077507397,0.0
Harburg,24798.0,554.0,13.0,252776.0,2191.663765547362,1248.57,45.718404832737285,24.567619107346403,73136.0,123227.0,56413.0,202.45240555195144,0.0
Harz,18785.0,258.0,4.0,214446.0,1203.1000811393078,2104.53,49.841202447236135,24.516172146252842,48660.0,105531.0,60255.0,101.89733574717394,1.0
Havelland,19437.0,179.0,6.0,161909.0,1105.5592956537314,1727.3,46.73719187938904,24.303037364858568,42226.0,83422.0,36261.0,93.73530944248249,1.0
Haßberge,21147.0,166.0,6.0,84599.0,1962.1981347297249,956.19,45.26412841759359,24.0465852027793,25052.0,41997.0,17550.0,88.47509386209853,0.0
Heidekreis,20183.0,74.0,2.0,139755.0,529.4980501592072,1881.41,45.64017029802154,24.65741230767071,42137.0,66291.0,31327.0,74.28205441663432,0.0
Heidelberg,23189.0,313.0,7.0,160355.0,1951.9191793208818,108.89,40.80183655015435,22.971009572456186,61019.0,73085.0,26251.0,1472.632932317017,0.0
Heidenheim,22034.000000000004,511.0,41.0,132472.0,3857.4189262636633,627.14,45.03353916299294,24.69337293117813,40943.0,62604.0,28925.0,211.23194183117008,0.0
Heilbronn,24414.929540240228,1409.0,58.0,469028.0,3004.08504396326,1199.8000000000002,43.58116359790887,24.08450773345584,150359.0,228253.0,90416.0,390.9218203033838,0.0
Heinsberg,19448.0,1923.0,79.0,254322.0,7561.280581310307,627.99,45.09852863692484,24.179351521050258,76355.0,124953.0,53014.0,404.977786270482,0.0
Helmstedt,22604.0,141.0,1.0,91307.0,1544.2408577655601,676.15,46.729073345964714,24.493318319807937,25208.0,44748.0,21351.0,135.03956222731642,0.0
