Landkreis,Net_needs,Gross_needs,Ded_income
"Rostock, Landkreis",448,733,346
"Vorpommern-Rügen, Landkreis",447,747,362
"Nordwestmecklenburg, Landkreis",443,753,381
"Vorpommern-Greifswald, Landkreis",418,727,358
"Ludwigslust-Parchim, Landkreis",447,720,325
"Chemnitz, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Plauen, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Zwickau, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Annaberg, Landkreis (until 2008-07-31)",-,-,-
"Chemnitzer Land, Landkreis (until 2008-07-31)",-,-,-
"Freiberg, Landkreis (until 2008-07-31)",-,-,-
Vogtlandkreis (until 2008-07-31),-,-,-
Mittlerer Erzgebirgskreis (until 2008-07-31),-,-,-
"Mittweida, Landkreis (until 2008-07-31)",-,-,-
"Stollberg, Landkreis (until 2008-07-31)",-,-,-
"Aue-Schwarzenberg, Landkreis (until 2008-07-31)",-,-,-
"Zwickauer Land, Landkreis (until 2008-07-31)",-,-,-
"Dresden, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Görlitz, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Hoyerswerda, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Bautzen, Landkreis (until 2008-07-31)",-,-,-
"Meißen, Landkreis (until 2008-07-31)",-,-,-
Niederschlesischer Oberlausitzkreis (b.31.07.2008),-,-,-
"Riesa-Großenhain, Landkreis (until 2008-07-31)",-,-,-
"Löbau-Zittau, Landkreis (until 2008-07-31)",-,-,-
"Sächsische Schweiz, Landkreis (until 2008-07-31)",-,-,-
Weißeritzkreis (until 2008-07-31),-,-,-
"Kamenz, Landkreis (until 2008-07-31)",-,-,-
"Leipzig, kreisfreie Stadt (until 2008-07-31)",-,-,-
"Delitzsch, Landkreis (until 2008-07-31)",-,-,-
"Döbeln, Landkreis (until 2008-07-31)",-,-,-
"Leipziger Land, Landkreis (until 2008-07-31)",-,-,-
Muldentalkreis (until 2008-07-31),-,-,-
"Torgau-Oschatz, Landkreis (until 2008-07-31)",-,-,-
"Chemnitz, kreisfreie Stadt",488,717,318
Erzgebirgskreis,429,686,312
"Mittelsachsen, Landkreis",430,697,348
Vogtlandkreis,418,689,326
"Zwickau, Landkreis",432,699,311
"Dresden, kreisfreie Stadt",467,762,378
"Bautzen, Landkreis",440,685,291
"Görlitz, Landkreis",398,696,338
"Meißen, Landkreis",410,688,325
"Sächsische Schweiz-Osterzgebirge, Landkreis",414,707,334
"Leipzig, kreisfreie Stadt",479,727,339
"Leipzig, Landkreis",432,694,312
"Nordsachsen, Landkreis",439,692,298
"Dessau-Roßlau, kreisfreie Stadt",464,730,351
"Halle (Saale), kreisfreie Stadt",482,749,344
"Magdeburg, kreisfreie Stadt",499,738,335
Altmarkkreis Salzwedel,440,706,335
"Anhalt-Bitterfeld, Landkreis",429,718,336
"Börde, Landkreis",440,699,305
Burgenlandkreis,418,701,330
"Harz, Landkreis",436,704,319
"Jerichower Land, Landkreis",416,682,320
"Mansfeld-Südharz, Landkreis",478,718,308
Saalekreis,442,713,326
Salzlandkreis,425,700,320
"Stendal, Landkreis",437,700,320
"Wittenberg, Landkreis",410,681,326
"Dessau, kreisfreie Stadt (until 2007-06-30)",-,-,-
"Anhalt-Zerbst, Landkreis (until 2007-06-30)",-,-,-
"Bernburg, Landkreis (until 2007-06-30)",-,-,-
"Bitterfeld, Landkreis (until 2007-06-30)",-,-,-
"Köthen, Landkreis (until 2007-06-30)",-,-,-
"Wittenberg, Landkreis (until 2007-06-30)",-,-,-
"Halle (Saale), kreisfreie Stadt (until 2007-06-30)",-,-,-
Burgenlandkreis (until 2007-06-30),-,-,-
"Mansfelder Land, Landkreis (until 2007-06-30)",-,-,-
"Merseburg-Querfurt, Landkreis (until 2007-06-30)",-,-,-
Saalkreis (until 2007-06-30),-,-,-
"Sangerhausen, Landkreis (until 2007-06-30)",-,-,-
"Weißenfels, Landkreis (until 2007-06-30)",-,-,-
"Magdeburg, kreisfreie Stadt (until 2007-06-30)",-,-,-
"Aschersleben-Staßfurt, Landkreis (until 2007-06-30",-,-,-
Bördekreis (until 2007-06-30),-,-,-
"Halberstadt, Landkreis (until 2007-06-30)",-,-,-
"Jerichower Land, Landkreis (until 2007-06-30)",-,-,-
Ohrekreis (until 2007-06-30),-,-,-
"Stendal, Landkreis (until 2007-06-30)",-,-,-
