Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Hildesheim,276594.0,20609.0,134,257,21,412,0,3,3,6,1208.33,228.90601077520216,97523.0,144258.0,34813.0,0.0
Hochsauerlandkreis,260475.0,23151.0,170,383,63,616,0,7,10,17,1960.17,132.88388252039363,92301.0,137203.0,30971.0,0.0
Hochtaunuskreis,236564.0,31612.0,61,204,23,288,0,3,2,5,481.84,490.9596546571476,81356.0,125887.0,29321.0,0.0
Hof,99904.0,21293.590236627162,149,324,94,567,1,7,28,36,950.54,105.10236286742273,46557.0,75613.0,19071.0,0.0
Hohenlohekreis,11201.0,23219.0,159,523,90,772,0,26,21,47,776.76,14.420155517791853,42854.0,57834.0,11322.0,0.0
Holzminden,70975.0,20573.0,19,59,28,106,0,3,4,7,694.24,102.23409771836829,23244.0,37550.0,10181.0,0.0
Höxter,140667.0,21148.000000000004,80,231,55,366,0,7,11,18,1201.42,117.08395065838756,49387.0,74261.0,17019.0,0.0
Ilm-Kreis,106622.0,18691.0,30,95,10,135,0,4,2,6,843.71,126.37280582190563,34988.0,59069.0,14685.0,1.0
Ingolstadt,136981.0,22950.0,159,249,66,474,1,15,21,37,133.35,1027.2290963629546,56704.0,66783.0,13494.0,0.0
Jena,111407.0,18030.0,81,72,8,161,0,1,2,3,114.76,970.7825026141512,48854.0,49316.0,13237.0,1.0
Jerichower Land,89928.0,19625.999999999996,6,23,4,33,0,0,2,2,1576.85,57.03015505596601,25766.0,51851.0,12311.0,1.0
Kaiserslautern,205902.0,19895.706146613436,150,126,14,290,0,4,3,7,779.7,264.0784917275875,79983.0,103525.0,22394.0,0.0
Karlsruhe,757324.0,23189.419867850484,342,790,239,1371,0,24,69,93,1258.7,601.6715659013267,294706.0,382527.0,80091.0,0.0
Kassel,438218.0,20577.46634095359,277,410,76,763,0,10,27,37,1400.1399999999999,312.9815589869585,163369.0,223374.0,51475.0,0.0
Kaufbeuren,43893.0,21906.0,41,59,11,111,0,2,3,5,40.02,1096.7766116941527,16142.0,22239.0,5512.0,0.0
Kelheim,122258.0,22451.0,117,281,48,446,0,13,22,35,1065.14,114.78115552885066,47054.0,63797.0,11407.0,0.0
Kiel,247548.0,18810.0,93,166,22,281,0,6,4,10,118.65,2086.3716814159293,108353.0,114792.0,24403.0,0.0
Kitzingen,90909.0,23748.0,82,97,12,191,0,1,2,3,684.14,132.8806969333762,32975.0,48389.0,9545.0,0.0
Kleve,310974.0,19947.0,212,485,76,773,0,13,24,37,1232.99,252.21129125134834,114272.0,164509.0,32193.0,0.0
Koblenz,114024.0,21029.0,58,157,49,264,0,7,11,18,105.25,1083.3634204275534,46572.0,53850.0,13602.0,0.0
Konstanz,285325.0,23616.999999999996,141,303,24,468,0,8,8,16,817.98,348.8165969828113,111400.0,141772.0,32153.0,0.0
Krefeld,22702.0,21115.0,208,392,48,648,0,13,9,22,137.77,164.78188284822528,83245.0,117082.0,26693.0,0.0
Kronach,67135.0,22101.999999999996,50,104,13,167,0,2,1,3,651.49,103.04839675206065,20960.0,37586.0,8589.0,0.0
Kulmbach,71845.0,22462.0,81,145,18,244,0,6,5,11,658.34,109.13054045022328,22951.0,40059.0,8835.0,0.0
Kusel,70526.0,20564.0,25,62,3,90,0,1,0,1,573.6,122.95327754532775,23085.0,38874.0,8567.0,0.0
Kyffhäuserkreis,75009.0,17708.0,16,32,2,50,0,0,0,0,1037.89,72.27066452128838,21475.0,42990.0,10544.0,1.0
Köln,1085664.0,21608.0,834,1508,222,2564,0,35,67,102,405.02,2680.5194805194806,453103.0,533285.0,99276.0,0.0
Lahn-Dill-Kreis,253777.0,22884.0,72,235,37,344,0,8,10,18,1066.3,237.99774922629655,90843.0,133587.0,29347.0,0.0
Landshut,231102.0,23236.522712914644,261,605,86,952,0,17,23,40,1413.3999999999999,163.50785340314138,87564.0,121120.0,22418.0,0.0
Leer,169809.0,18614.0,37,102,8,147,0,4,1,5,1085.72,156.40220314629923,62731.0,89179.0,17899.0,0.0
Leipzig,845620.0,18583.263267188573,273,495,34,802,0,8,8,16,1949.12,433.8470694467247,327870.0,412691.0,105059.0,1.0
Leverkusen,163838.0,20884.0,65,161,21,247,0,2,3,5,78.87,2077.3171040953466,59853.0,83845.0,20140.0,0.0
Lichtenfels,66838.0,21156.0,87,171,40,298,0,3,13,16,519.94,128.54944801323228,22544.0,36351.0,7943.0,0.0
Limburg-Weilburg,172083.0,21348.000000000004,98,184,10,292,0,5,1,6,738.44,233.03585937923188,61502.0,91732.0,18849.0,0.0
Lippe,348391.0,22239.0,215,462,78,755,0,10,19,29,1246.22,279.5581839482595,128444.0,177098.0,42849.0,0.0
Ludwigsburg,543984.0,25230.999999999996,451,1137,203,1791,0,29,43,72,686.77,792.0905106513097,207820.0,278262.0,57902.0,0.0
Ludwigslust-Parchim,212618.0,19149.0,25,63,1,89,0,2,0,2,4766.78,44.6041143077717,64200.0,122498.0,25920.0,1.0
Lörrach,228639.0,25461.0,140,430,97,667,0,25,36,61,806.71,283.42155173482416,84958.0,118878.0,24803.0,0.0
Lübeck,217198.0,19575.0,69,94,3,166,0,1,0,1,214.21,1013.9489286214462,80008.0,109402.0,27788.0,0.0
Lüchow-Dannenberg,48424.0,19529.0,4,14,3,21,0,0,3,3,1227.22,39.45828783755154,14769.0,26529.0,7126.0,0.0
Lüneburg,183372.0,20583.000000000004,84,81,3,168,0,0,0,0,1327.67,138.11564620726534,68924.0,95437.0,19011.0,0.0
Magdeburg,238697.0,18206.0,120,93,5,218,0,1,1,2,201.01,1187.4881846674296,91632.0,115075.0,31990.0,1.0
Main-Kinzig-Kreis,41895.0,22932.0,218,474,74,766,0,18,29,47,1397.32,29.98239487018006,150145.0,222730.0,46075.0,0.0
Main-Spessart,126365.0,22524.0,53,96,8,157,0,4,2,6,1321.19,95.64483533783937,42569.0,68940.0,14856.0,0.0
Main-Tauber-Kreis,132321.0,22232.0,100,261,37,398,0,5,5,10,1304.13,101.46304432840283,46945.0,69884.0,15492.0,0.0
Main-Taunus-Kreis,237735.0,26641.0,77,253,26,356,0,7,7,14,222.53,1068.3278659057205,84907.0,125737.0,27091.0,0.0
Mainz,217118.0,21515.0,287,321,61,669,0,7,19,26,97.73,2221.6105597053106,97624.0,99093.0,20401.0,0.0
Mainz-Bingen,210889.0,25408.0,116,251,65,432,0,5,20,25,605.36,348.3695652173913,73628.0,115573.0,21688.0,0.0
Mannheim,30937.0,20592.0,199,279,17,495,0,6,7,13,144.97,213.40277298751465,129785.0,149468.0,30117.0,0.0
Mansfeld-Südharz,136249.0,18203.0,19,29,6,54,0,1,1,2,1448.85,94.03941056700143,36418.0,78447.0,21384.0,1.0
Marburg-Biedenkopf,246648.0,20485.0,61,138,3,202,0,4,0,4,1262.37,195.3848713134818,100589.0,120809.0,25250.0,0.0
Mayen-Koblenz,214259.0,21895.0,61,252,32,345,0,6,8,14,817.73,262.01680261210913,75402.0,114769.0,24088.0,0.0
Mecklenburgische Seenplatte,25913.0,18062.0,36,77,12,125,0,2,1,3,5495.63,4.715200986966008,77005.0,146788.0,35337.0,1.0
Meißen,242165.0,20022.000000000004,53,160,27,240,0,4,16,20,1454.59,166.48333894774473,71101.0,133643.0,37421.0,1.0
Memmingen,43837.0,26941.0,5,44,2,51,0,0,0,0,70.11,625.2603052346313,16446.0,22253.0,5138.0,0.0
Merzig-Wadern,103243.0,19067.0,63,127,26,216,0,0,2,2,556.66,185.46868824776345,34222.0,56995.0,12149.0,0.0
Mettmann,485684.0,25021.0,242,601,135,978,0,33,46,79,407.22,1192.6820883060752,164862.0,257042.0,63780.0,0.0
Miesbach,99726.0,28017.0,149,402,35,586,0,5,6,11,866.22,115.12779663364965,34915.0,52624.0,12187.0,0.0
Miltenberg,128756.0,22544.0,88,192,25,305,0,2,3,5,715.58,179.932362559043,45366.0,69257.0,14133.0,0.0
Minden-Lübbecke,31071.0,22261.999999999996,127,326,38,491,0,6,6,12,1152.41,26.961758401957635,113488.0,159871.0,37351.0,0.0
Mittelsachsen,306185.0,19433.0,76,183,25,284,0,4,5,9,2116.85,144.64180267850816,91358.0,168444.0,46383.0,1.0
Märkisch-Oderland,194328.0,19407.0,80,144,16,240,0,1,3,4,2158.65,90.02293099854074,57114.0,112217.0,24997.0,1.0
Märkischer Kreis,41212.0,24136.999999999996,157,403,50,610,0,18,13,31,1061.06,38.84040487814073,147000.0,216290.0,48830.0,0.0
Mönchengladbach,261454.0,20656.0,226,350,89,665,0,8,33,41,170.47,1533.7244089869184,98976.0,134216.0,28262.0,0.0
München,1820379.0,29724.47937544874,2969,4420,672,8061,2,117,178,297,974.97,1867.1128342410534,754202.0,889640.0,176537.0,0.0
Münster,314319.0,22261.0,293,412,28,733,0,7,6,13,303.28,1036.3987074650488,142687.0,142264.0,29368.0,0.0
Neckar-Odenwald-Kreis,143535.0,21775.0,106,266,69,441,0,6,15,21,1125.94,127.48014991917863,51253.0,76350.0,15932.0,0.0
Neu-Ulm,1742.0,23441.999999999996,110,255,65,430,0,7,19,26,515.84,3.377016129032258,66222.0,89532.0,18446.0,0.0
Neuburg-Schrobenhausen,9668.0,22558.000000000004,103,197,34,334,0,9,9,18,739.72,13.06981019845347,36721.0,50469.0,9490.0,0.0
Neumünster,79487.0,18922.0,30,45,3,78,0,2,0,2,71.63,1109.6886779282424,29649.0,40067.0,9771.0,0.0
Neunkirchen,131408.0,20134.0,67,160,45,272,0,3,7,10,249.8,526.052842273819,43168.0,72053.0,16985.0,0.0
