sample_number,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5
210.0,0.0105,0.0235,0.0555,0.0926,0.0477,0.0002,0.0163,0.0295,0.0387,0.0241
82.0,0.0,0.0117,0.0169,0.0466,0.1495,0.0,0.0095,0.0151,0.0391,0.0984
1008.0,0.0146,0.037,0.0972,0.0711,0.0269,0.0136,0.0237,0.0404,0.0412,0.0222
,0.0,0.0,0.0109,0.038,0.19,0.0,0.0,0.0106,0.0308,0.0907
250.0,0.0127,0.0244,0.0304,0.0269,0.0335,0.0135,0.0298,0.1236,0.0444,0.0173
146.0,0.0121,0.0217,0.0268,0.0244,0.0358,0.0113,0.0245,0.1352,0.0462,0.0188
550.0,0.0,0.0152,0.0225,0.0507,0.0744,0.0,0.0129,0.0219,0.0717,0.0921
266.0,0.0097,0.0136,0.0143,0.0285,0.0996,0.0095,0.0116,0.0121,0.0301,0.165
586.0,0.0164,0.0265,0.0302,0.0249,0.028,0.017,0.0315,0.1481,0.0424,0.0163
738.0,0.0,0.0133,0.0222,0.0594,0.0888,0.0,0.0116,0.0195,0.0513,0.0746
1350.0,0.1474,0.066,0.0225,0.01,0.0,0.054,0.0398,0.0188,0.0088,0.0
794.0,0.0223,0.0342,0.0302,0.0158,0.0231,0.0285,0.1052,0.0725,0.0208,0.0102
680.0,0.0,0.0107,0.0135,0.0263,0.0797,0.0,0.0033,0.0109,0.0288,0.1688
24.0,0.048,0.0618,0.0343,0.0169,0.0311,0.0525,0.0676,0.0347,0.0169,0.009
,0.1569,0.0677,0.0211,0.0,0.0,0.0399,0.0323,0.0157,0.0,0.0
44.0,0.0,0.0117,0.0147,0.037,0.1111,0.0,0.0,0.0128,0.0386,0.1256
,0.0,0.0,0.012,0.04,0.1497,0.0,0.0,0.0117,0.0337,0.1011
274.0,0.0,0.0118,0.0132,0.0291,0.1112,0.0,0.01,0.01,0.0298,0.1495
,0.0093,0.0206,0.0469,0.1169,0.0437,0.009,0.0171,0.0339,0.0529,0.0403
442.0,0.0136,0.0259,0.0341,0.0292,0.0359,0.0128,0.029,0.1048,0.0538,0.0205
188.0,0.097,0.0565,0.0241,0.0118,0.0271,0.0694,0.0425,0.0194,0.018,0.0
704.0,0.0113,0.0153,0.0153,0.0235,0.0587,0.0113,0.0132,0.013,0.0294,0.2006
230.0,0.0299,0.0419,0.0298,0.0161,0.0269,0.0386,0.0871,0.0438,0.0174,0.0089
620.0,0.0152,0.0358,0.0839,0.0617,0.0348,0.0138,0.0252,0.0396,0.0383,0.0211
844.0,0.0561,0.0422,0.0232,0.0113,0.0214,0.1212,0.0583,0.021,0.0118,0.0
,0.2143,0.0453,0.0171,0.0,0.0,0.0389,0.0291,0.0141,0.0,0.0
