sample_number,x1,y1,x2,y2,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,Comments,mfc10_residual,Day,number of leakage,quality
426,4180,1850,,,0.0546,0.0531,0.0277,0.0138,0.0268,0.0809,0.0723,0.0292,0.014,0,0.3724,,0.0218,7,1,
427,4180,1850,6430,3850,0.086,0.1452,0.0822,0.029,0.03,0.1048,0.1044,0.057,0.0263,0.0124,0.6773,,0.0218,7,2,
428,6430,3850,,,0.039,0.1018,0.0622,0.0222,0.029,0.0298,0.0393,0.0335,0.0192,0.0109,0.3869,,0.0218,7,1,
429,6430,3850,8930,2100,0.0527,0.1343,0.1168,0.0643,0.0462,0.0443,0.0719,0.1189,0.0705,0.0307,0.7506,,0.0218,7,2,
430,8930,2100,,,0.0211,0.0419,0.0617,0.0485,0.0415,0.0204,0.04,0.0907,0.0573,0.0253,0.4484,,0.0218,7,1,
431,8930,2100,4430,1600,0.0617,0.0819,0.0817,0.0559,0.044,0.0911,0.113,0.1153,0.065,0.0281,0.7377,,0.0218,7,2,
432,4430,1600,,,0.0479,0.0491,0.0272,0.0145,0.0282,0.076,0.08,0.0303,0.0145,0.0092,0.3769,,0.0218,7,1,
433,4430,1600,5180,1850,0.0855,0.095,0.052,0.0227,0.0289,0.1281,0.1551,0.0623,0.0236,0.0108,0.664,,0.0218,7,2,
434,5180,1850,,,0.0445,0.0549,0.0324,0.0161,0.0279,0.0575,0.0826,0.0376,0.0166,0.0092,0.3793,,0.0218,7,1,
435,5180,1850,15180,600,,,,,,,,,,,0,outside,0.0218,7,2,
436,15180,600,,,,,,,,,,,,,0,outside,0.0218,7,1,
437,15180,600,14180,4100,,,,,,,,,,,0,outside,0.0218,7,2,
438,14180,4100,,,0.0088,0.0133,0.015,0.0439,0.1938,0,0.0107,0.0122,0.0268,0.0523,0.3768,,0.0218,7,1,
439,14180,4100,11430,4600,0,0.0146,0.0333,0.2299,0.211,0,0.0105,0.0206,0.0435,0.0666,0.63,,0.0218,7,2,
440,,,,,,,,,,,,,,,0,repeat,0.0218,7,1,
441,11430,4600,9180,1100,0.013,0.0302,0.0544,0.2165,0.0561,0.011,0.0315,0.115,0.0716,0.0355,0.6348,,0.0218,7,2,
442,9180,1100,,,0.0136,0.0259,0.0341,0.0292,0.0359,0.0128,0.029,0.1048,0.0538,0.0205,0.3596,,0.0218,7,1,
443,9180,1100,12430,3100,0.0153,0.0323,0.0532,0.1027,0.0954,0.0143,0.0343,0.1228,0.1032,0.0753,0.6488,,0.0218,7,2,
444,12430,3100,,,0.0097,0.017,0.0266,0.0789,0.0842,0,0.0137,0.0235,0.0556,0.0601,0.3693,,0.0218,7,1,
445,12430,3100,8430,5100,,,,,,,,,,,0,on port,0.0218,7,2,
446,8430,5100,,,,,,,,,,,,,0,on port,0.0218,7,1,
447,8430,5100,14430,1350,,,,,,,,,,,0,on port,0.0218,7,2,
448,14430,1350,,,0,0.0105,0.0115,0.0218,0.0621,0,0,0.0103,0.0318,0.1973,0.3453,,0.0218,7,1,
449,14430,1350,12930,350,,,,,,,,,,,0,outside,0.0218,7,2,
450,12930,350,,,,,,,,,,,,,0,outside,0.0218,7,1,
451,12930,350,5680,4850,,,,,,,,,,,0,outside,0.0218,7,2,
452,5680,4850,,,0.0327,0.1784,0.0313,0.011,0.0272,0.0156,0.0209,0.0152,0.0106,0,0.3429,,0.0218,7,1,
453,5680,4850,10430,1850,0.0407,0.1921,0.0604,0.0492,0.0448,0.0256,0.0365,0.0643,0.0812,0.0317,0.6265,,0.0218,7,2,
454,,,,,,,,,,,,,,,0,repeat,0.0218,7,1,
455,10430,1850,2430,4350,0.1564,0.0625,0.0476,0.0484,0.0449,0.0564,0.0457,0.0629,0.0797,0.0314,0.6359,,0.0218,7,2,
456,2430,4350,,,0.1435,0.0482,0.0208,0.0117,0.0276,0.0491,0.0324,0.0169,0.0114,0,0.3616,,0.0218,7,1,
457,2430,4350,4930,100,0.1631,0.0693,0.0314,0.0143,0.0258,0.0968,0.1667,0.0355,0.015,0,0.6179,,0.0218,7,2,
458,,,,,,,,,,,,,,,0,repeat,0.0218,7,1,
459,4930,100,4430,1100,0.0631,0.0658,0.0369,0.0164,0.0257,0.1317,0.2287,0.0494,0.018,0,0.6357,,0.0218,7,2,
460,4430,1100,,,0.0425,0.0442,0.0251,0.0125,0.0252,0.0836,0.0928,0.0299,0.0133,0,0.3691,,0.0218,7,1,
461,4430,1100,13430,5100,,,,,,,,,,,0,outside,0.0218,7,2,
462,,,,,,,,,,,,,,,0,repeat,0.0218,7,1,
463,13430,5100,930,4100,,,,,,,,,,,0,outside,0.0218,7,2,
464,930,4100,,,,,,,,,,,,,0,outside,0.0218,7,1,
465,930,4100,430,2600,,,,,,,,,,,0,outside,0.0218,7,2,
466,430,2600,,,,,,,,,,,,,0,outside,0.0218,7,1,
467,430,2600,9180,5100,,,,,,,,,,,0,outside,0.0218,7,2,
468,9180,5100,,,,,,,,,,,,,0,outside,0.0218,7,1,
469,9180,5100,4180,1100,,,,,,,,,,,0,outside,0.0218,7,2,
470,4180,1100,,,0.0404,0.0404,0.0221,0.0106,0.0241,0.0848,0.0793,0.0253,0.0113,0,0.3383,,0.0218,7,1,
471,4180,1100,11930,4100,0.0423,0.0466,0.0438,0.1482,0.071,0.0866,0.0841,0.04,0.0427,0.0383,0.6436,,0.0218,7,2,
472,11930,4100,,,0.0088,0.0171,0.0302,0.1438,0.0708,0.0089,0.0127,0.0209,0.038,0.0373,0.3885,,0.0218,7,1,
473,11930,4100,11430,2600,0,0.0227,0.0543,0.2043,0.105,0,0.0172,0.0478,0.1032,0.1029,0.6574,,0.0218,7,2,
474,11430,2600,,,0,0.0179,0.033,0.0679,0.0597,0,0.0141,0.0334,0.0711,0.0456,0.3427,,0.0218,7,1,
475,11430,2600,7680,2100,0.0244,0.055,0.0769,0.0907,0.0678,0.0256,0.0556,0.0987,0.097,0.0555,0.6472,,0.0218,7,2,
476,7680,2100,,,0.0222,0.0454,0.05,0.0285,0.0326,0.0238,0.0475,0.0695,0.0313,0.0147,0.3655,,0.0218,7,1,
477,7680,2100,15930,2850,0.0222,0.047,0.0559,0.054,0.1463,0.0235,0.049,0.0757,0.0549,0.1208,0.6493,,0.0218,7,2,
478,15930,2850,,,0,0.0114,0.0131,0.0313,0.137,0,0,0.0103,0.0287,0.1093,0.3411,,0.0218,7,1,
479,15930,2850,1680,5100,,,,,,,,,,,0,outside,0.0218,7,2,
480,1680,5100,,,,,,,,,,,,,0,outside,0.0218,7,1,
481,1680,5100,15180,2350,,,,,,,,,,,0,outside,0.0218,7,2,
482,15180,2350,,,0,0.0029,0.0116,0.031,0.1153,0,0,0.0098,0.0317,0.1352,0.3375,,0.0218,7,1,
483,15180,2350,8930,3850,0.0116,0.0368,0.0972,0.0725,0.1263,0.0091,0.0217,0.0406,0.0563,0.1468,0.6189,,0.0218,7,2,
484,8930,3850,,,0.0134,0.0369,0.0918,0.0473,0.0353,0.0119,0.0218,0.0347,0.0302,0.0172,0.3405,,0.0218,7,1,
485,8930,3850,3180,4850,0.178,0.0848,0.1047,0.0503,0.0351,0.0465,0.0437,0.0449,0.0333,0.0173,0.6386,,0.0218,7,2,
486,3180,4850,,,0.1696,0.0577,0.0217,0.011,0.0247,0.0394,0.0289,0.0163,0.0108,0,0.3801,,0.0218,7,1,
487,3180,4850,12430,4600,0.1693,0.0609,0.0373,0.1546,0.0929,0.0391,0.0313,0.0274,0.0398,0.0449,0.6975,,0.0218,7,2,
488,12430,4600,,,0,0.0163,0.0266,0.1522,0.0923,0.0099,0.0132,0.0195,0.0376,0.0443,0.4119,,0.0218,7,1,
489,12430,4600,8680,2600,0.016,0.0426,0.0767,0.1841,0.1035,0.0151,0.0348,0.0726,0.0706,0.0576,0.6736,,0.0218,7,2,
490,8680,2600,,,0.0157,0.0375,0.058,0.0382,0.0332,0.0158,0.0311,0.0588,0.0389,0.0179,0.3451,,0.0218,7,1,
491,8680,2600,10930,350,,,,,,,,,,,0,outside,0.0218,7,2,
492,10930,350,,,,,,,,,,,,,0,outside,0.0218,7,1,
493,10930,350,3180,850,,,,,,,,,,,0,outside,0.0218,7,2,
494,3180,850,,,0.0383,0.0344,0.0192,0.0112,0.0253,0.1235,0.0549,0.0194,0.0115,0,0.3377,,0.0218,7,1,
495,3180,850,14680,1100,0.043,0.0373,0.0197,0.017,0.05,0.1383,0.0607,0.0216,0.0245,0.217,0.6291,both needle change,0.0218,7,2,
496,14680,1100,,,0,0.0114,0.0108,0.0168,0.0512,0,0.0095,0.0089,0.0223,0.215,0.3459,,0.0218,7,1,
497,14680,1100,12430,350,,,,,,,,,,,0,outside,0.0218,7,2,
498,12430,350,,,,,,,,,,,,,0,outside,0.0218,7,1,
499,12430,350,9930,100,,,,,,,,,,,0,outside,0.0218,7,2,
500,9930,100,,,,,,,,,,,,,0,outside,0.0218,7,1,
501,9930,100,8930,1100,,,,,,,,,,,0,outside,0.0218,7,2,
502,8930,1100,,,0,0.023,0.0323,0.0268,0.0303,0.0087,0.0282,0.1111,0.0465,0.0139,0.3208,,0.0218,7,1,
503,8930,1100,1680,1350,0.0599,0.0564,0.0463,0.0323,0.0325,0.154,0.0703,0.1259,0.0516,0.0167,0.6459,,0.0218,7,2,
504,1680,1350,,,0.0532,0.0403,0.0214,0.0121,0.0255,0.1458,0.0468,0.0199,0.0124,0,0.3774,,0.0218,7,1,
505,1680,1350,8680,850,0.0649,0.0591,0.0468,0.0315,0.0268,0.16,0.0784,0.1475,0.0462,0.0177,0.6789,residual flow of 0.010 in mfc7 and 0.0173 in mfc10,0.0173,8,2,
506,,,,,,,,,,,,,,,0,repeat,0.0173,8,1,
507,8680,850,15180,2100,0.0152,0.0294,0.0398,0.0517,0.1093,0.0153,0.0374,0.1383,0.0677,0.1605,0.6646,,0.0173,8,2,
508,15180,2100,,,0,0.0107,0.014,0.0315,0.1012,0,0.0084,0.0103,0.0332,0.1488,0.3581,,0.0173,8,1,
509,15180,2100,7180,350,0.0315,0.0527,0.0543,0.0537,0.1091,0.0399,0.1273,0.152,0.0632,0.159,0.8427,,0.0173,8,2,
510,7180,350,,,0.0332,0.0526,0.0495,0.0306,0.0297,0.042,0.1263,0.1456,0.0378,0.0166,0.5639,,0.0173,8,1,
511,7180,350,6680,1100,0.0494,0.0777,0.0696,0.0389,0.0318,0.0647,0.1822,0.1713,0.0474,0.0193,0.7523,,0.0173,8,2,
512,6680,1100,,,0.033,0.0506,0.0437,0.0246,0.0267,0.0415,0.1077,0.082,0.028,0.0127,0.4505,,0.0173,8,1,
513,6680,1100,14180,100,,,,,,,,,,,0,outside,0.0173,8,2,
514,14180,100,,,,,,,,,,,,,0,outside,0.0173,8,1,
515,14180,100,12930,3350,,,,,,,,,,,0,outside,0.0173,8,2,
516,12930,3350,,,0.0111,0.0184,0.0277,0.0872,0.1104,0.0105,0.015,0.0215,0.0534,0.0725,0.4277,,0.0173,8,1,
517,12930,3350,13430,2350,0,0.02,0.0434,0.1498,0.2086,0,0.0165,0.0392,0.1279,0.2155,0.8209,,0.0173,8,2,
518,13430,2350,,,0,0.016,0.0267,0.0717,0.1221,0,0.0133,0.0242,0.0816,0.1494,0.505,,0.0173,8,1,
519,13430,2350,8430,1350,0.0214,0.0395,0.0541,0.0751,0.1015,0.0224,0.0479,0.1163,0.0931,0.1188,0.6901,,0.0173,8,2,
520,8430,1350,,,0.0177,0.0329,0.0403,0.0292,0.0291,0.0182,0.0421,0.1017,0.04,0.0163,0.3675,,0.0173,8,1,
521,8430,1350,15430,1850,,,,,,,,,,,0,,0.0173,8,2,
522,,,,,,,,,,,,,,,0,repeat,0.0173,8,1,
523,15430,1850,13680,2100,0.0125,0.0203,0.0288,0.0693,0.1575,0.0119,0.0171,0.0259,0.0837,0.2775,0.7045,,0.0173,8,2,
524,13680,2100,,,0,0.0134,0.0192,0.0451,0.0886,0,0.011,0.0163,0.0571,0.128,0.3787,,0.0173,8,1,
525,13680,2100,1930,5100,,,,,,,,,,,0,outside,0.0173,8,2,
526,1930,5100,,,,,,,,,,,,,0,outside,0.0173,8,1,
527,1930,5100,5430,850,,,,,,,,,,,0,outside,0.0173,8,2,
528,5430,850,,,0.0301,0.0379,0.0262,0.0133,0.0216,0.048,0.1271,0.0357,0.0145,0,0.3544,,0.0173,8,1,
529,5430,850,930,3100,,,,,,,,,,,0,outside,0.0173,8,2,
530,930,3100,,,,,,,,,,,,,0,outside,0.0173,8,1,
531,930,3100,5180,1600,,,,,,,,,,,0,outside,0.0173,8,2,
532,5180,1600,,,0.0432,0.0527,0.0331,0.0152,0.0189,0.0621,0.0991,0.0395,0.0162,0,0.38,observed residual leakage of 0.0167 in mfc10,0.0167,9,1,
533,5180,1600,4930,1850,0.0825,0.0976,0.0576,0.0252,0.0224,0.1201,0.1737,0.0691,0.0263,0.0105,0.685,,0.0167,9,2,
534,4930,1850,,,0.0459,0.0537,0.0321,0.0154,0.0211,0.0629,0.0828,0.0345,0.0158,0,0.3642,,0.0167,9,1,
535,4930,1850,1430,100,0.084,0.0784,0.0417,0.0183,0.0212,0.2326,0.1185,0.0453,0.0187,0,0.6587,,0.0167,9,2,
536,1430,100,,,0.0462,0.0356,0.0201,0.011,0.0205,0.1775,0.0444,0.0177,0.011,0,0.384,,0.0167,9,1,
537,1430,100,7680,2850,0.0629,0.0784,0.0747,0.0341,0.0255,0.1942,0.0791,0.0641,0.0325,0.0135,0.659,,0.0167,9,2,
538,7680,2850,,,0.0268,0.0553,0.0655,0.0323,0.0277,0.0256,0.0446,0.054,0.0302,0.0146,0.3766,,0.0167,9,1,
539,7680,2850,4930,2350,0.0704,0.1067,0.0905,0.041,0.0304,0.0782,0.1052,0.0806,0.039,0.0177,0.6597,,0.0167,9,2,
540,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
541,4930,2350,5430,1850,0.0896,0.1119,0.0646,0.028,0.0264,0.111,0.1536,0.0714,0.0285,0.013,0.698,,0.0167,9,2,
542,5430,1850,,,0.0398,0.0529,0.0341,0.016,0.022,0.0511,0.0833,0.0389,0.0166,0,0.3547,,0.0167,9,1,
543,5430,1850,7180,1350,0.0611,0.09,0.07,0.0357,0.0299,0.079,0.1529,0.1197,0.0404,0.0172,0.6959,,0.0167,9,2,
544,7180,1350,,,0.0287,0.0465,0.044,0.0258,0.0271,0.0333,0.0775,0.0859,0.0298,0.0142,0.4128,,0.0167,9,1,
545,7180,1350,10930,2100,0.0306,0.0562,0.0708,0.0729,0.0527,0.0352,0.0873,0.1226,0.1061,0.0469,0.6813,,0.0167,9,2,
546,10930,2100,,,0.0116,0.022,0.0366,0.0555,0.0468,0.0104,0.0197,0.0434,0.0839,0.039,0.3689,,0.0167,9,1,
547,10930,2100,180,3600,,,,,,,,,,,0,outside,0.0167,9,2,
548,180,3600,,,,,,,,,,,,,0,outside,0.0167,9,1,
549,180,3600,12930,2100,,,,,,,,,,,0,outside,0.0167,9,2,
550,12930,2100,,,0,0.0152,0.0225,0.0507,0.0744,0,0.0129,0.0219,0.0717,0.0921,0.3614,,0.0167,9,1,
551,12930,2100,6430,1600,0.0324,0.0528,0.0523,0.064,0.0787,0.0385,0.0861,0.0726,0.0869,0.0975,0.6618,,0.0167,9,2,
552,6430,1600,,,0.0314,0.0483,0.0391,0.0205,0.0246,0.038,0.0826,0.0572,0.0221,0.0104,0.3742,,0.0167,9,1,
553,6430,1600,12930,2600,0.0322,0.053,0.0534,0.0729,0.0883,0.0386,0.0867,0.0724,0.0762,0.0862,0.6599,,0.0167,9,2,
554,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
555,12930,2600,14930,600,,,,,,,,,,,0,outside,0.0167,9,2,
556,14930,600,,,,,,,,,,,,,0,outside,0.0167,9,1,
557,14930,600,4930,100,,,,,,,,,,,0,outside,0.0167,9,2,
558,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
559,4930,100,8180,3600,0.0431,0.0756,0.1055,0.0436,0.0315,0.0684,0.1732,0.0622,0.0353,0.0172,0.6556,,0.0167,9,2,
560,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
561,8180,3600,1680,4850,,,,,,,,,,,0,outside,0.0167,9,2,
562,1680,4850,,,,,,,,,,,,,0,outside,0.0167,9,1,
563,1680,4850,11180,350,,,,,,,,,,,0,outside,0.0167,9,2,
564,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
565,11180,350,11430,4600,,,,,,,,,,,0,outside,0.0167,9,2,
566,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
567,11430,4600,1180,2350,,,,,,,,,,,0,outside,0.0167,9,2,
568,1180,2350,,,0.0636,0.043,0.0219,0.0111,0.0219,0.1278,0.0472,0.0191,0.0111,0,0.3667,,0.0167,9,1,
569,1180,2350,8930,4350,0.0725,0.0716,0.1388,0.0536,0.0307,0.1357,0.0622,0.0444,0.0317,0.0161,0.6573,,0.0167,9,2,
570,8930,4350,,,0.0182,0.0411,0.1276,0.0505,0.0317,0.0164,0.0248,0.0326,0.0289,0.0166,0.3884,,0.0167,9,1,
571,8930,4350,5180,600,0.0181,0.0505,0.1733,0.1643,0.0513,0.0145,0.0297,0.0504,0.0538,0.0332,0.6391,,0.0167,9,2,
573,5180,600,14430,3350,0.0099,0.0244,0.0651,0.1578,0.172,0,0.0172,0.0325,0.0594,0.0992,0.6375,,0.0167,9,2,
574,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
575,14430,3350,13930,3850,0,0.0155,0.0252,0.0879,0.2858,0,0.0122,0.0212,0.0581,0.134,0.6399,,0.0167,9,2,
576,13930,3850,,,0,0.0103,0.0151,0.0505,0.1561,0,0,0.0111,0.03,0.0571,0.3302,,0.0167,9,1,
577,13930,3850,10430,1100,0,0.0202,0.038,0.0809,0.1721,0,0.02,0.0693,0.1223,0.0826,0.6054,,0.0167,9,2,
578,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
579,10430,1100,12430,1100,0.0111,0.0252,0.0433,0.0669,0.0685,0.0092,0.0248,0.0814,0.2037,0.0998,0.6339,,0.0167,9,2,
580,12430,1100,,,0.009,0.0158,0.021,0.037,0.0522,0,0.0131,0.0241,0.1137,0.0758,0.3617,,0.0167,9,1,
581,12430,1100,3430,4600,0.1334,0.0662,0.0331,0.0394,0.0525,0.041,0.0345,0.0331,0.1162,0.0766,0.626,,0.0167,9,2,
582,3430,4600,,,0.1344,0.065,0.0244,0.0118,0.0224,0.0435,0.0334,0.0177,0.0113,0,0.3639,,0.0167,9,1,
583,3430,4600,5930,3350,0.1737,0.148,0.0676,0.0232,0.0222,0.078,0.0783,0.0483,0.0216,0.0084,0.6693,,0.0167,9,2,
584,5930,3350,,,0.0492,0.0956,0.0537,0.0208,0.0233,0.0418,0.0541,0.0379,0.0194,0.0097,0.4055,,0.0167,9,1,
585,5930,3350,8930,600,0.0546,0.1085,0.0734,0.0377,0.0306,0.0482,0.0747,0.179,0.0541,0.0198,0.6806,,0.0167,9,2,
586,8930,600,,,0.0164,0.0265,0.0302,0.0249,0.028,0.017,0.0315,0.1481,0.0424,0.0163,0.3813,,0.0167,9,1,
587,8930,600,6680,2350,0.0379,0.072,0.0695,0.0406,0.0324,0.0397,0.082,0.1966,0.0593,0.0218,0.6518,,0.0167,9,2,
588,6680,2350,,,0.033,0.059,0.0484,0.0228,0.0251,0.0341,0.0605,0.0499,0.023,0.0115,0.3673,,0.0167,9,1,
589,6680,2350,3930,3100,0.1222,0.1313,0.0759,0.0315,0.0269,0.1105,0.1177,0.0747,0.0315,0.0138,0.736,,0.0167,9,2,
590,3930,3100,,,0.0959,0.0822,0.036,0.016,0.0231,0.0817,0.0641,0.0297,0.0155,0.0088,0.453,,0.0167,9,1,
591,3930,3100,6680,600,0.1052,0.1077,0.0635,0.0297,0.0259,0.1043,0.179,0.1135,0.0343,0.0137,0.7768,,0.0167,9,2,
592,6680,600,,,0.0334,0.0498,0.0421,0.0237,0.0258,0.044,0.1335,0.0938,0.0238,0.013,0.4829,,0.0167,9,1,
593,6680,600,9680,4850,0.0336,0.0619,0.1281,0.0852,0.039,0.0409,0.1195,0.099,0.0473,0.0249,0.6794,,0.0167,9,2,
594,9680,4850,,,0.0154,0.0327,0.1026,0.0727,0.0353,0.0141,0.0216,0.0288,0.0308,0.0196,0.3736,,0.0167,9,1,
595,9680,4850,4180,3600,0.054,0.0676,0.1188,0.0775,0.036,0.0891,0.0892,0.0491,0.0363,0.0209,0.6385,,0.0167,9,2,
597,4180,3600,14680,3850,0.049,0.05,0.0324,0.0437,0.209,0.0848,0.0797,0.0327,0.034,0.0682,0.6835,,0.0167,9,2,
598,14680,3850,,,0.0097,0.0147,0.0161,0.038,0.2062,0.0095,0.0121,0.0119,0.0277,0.0657,0.4116,,0.0167,9,1,
599,14680,3850,180,2100,,,,,,,,,,,0,outside,0.0167,9,2,
600,180,2100,,,,,,,,,,,,,0,outside,0.0167,9,1,
601,180,2100,2930,2600,,,,,,,,,,,0,outside,0.0167,9,2,
602,2930,2600,,,0.072,0.0492,0.0217,0.0098,0.0211,0.0869,0.0485,0.0183,0.01,0,0.3375,,0.0167,9,1,
603,2930,2600,1930,3350,0.1654,0.0947,0.0385,0.0144,0.0198,0.1692,0.089,0.0342,0.0146,0,0.6398,,0.0167,9,2,
604,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
605,1930,3350,11430,1600,0.1023,0.0615,0.0424,0.0474,0.0455,0.0912,0.0544,0.0498,0.1164,0.0468,0.6577,,0.0167,9,2,
606,11430,1600,,,0.0124,0.0208,0.0286,0.0433,0.0445,0.0126,0.0187,0.0367,0.1118,0.0452,0.3746,,0.0167,9,1,
607,11430,1600,10430,3850,0.0128,0.0333,0.0818,0.1322,0.067,0.011,0.0264,0.0617,0.1458,0.0665,0.6385,,0.0167,9,2,
608,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
609,10430,3850,13430,1600,0.0125,0.0298,0.073,0.1264,0.0873,0.011,0.0224,0.0436,0.0984,0.1435,0.6479,,0.0167,9,2,
610,13430,1600,,,0,0.014,0.0179,0.0362,0.0647,0,0.0116,0.0168,0.0629,0.1218,0.3459,,0.0167,9,1,
611,13430,1600,4680,2850,0.0602,0.0722,0.0416,0.0432,0.0666,0.0578,0.0609,0.0391,0.07,0.1252,0.6368,,0.0167,9,2,
612,4680,2850,,,0.0611,0.0711,0.0344,0.0153,0.0229,0.059,0.0596,0.0291,0.015,0.0087,0.3762,,0.0167,9,1,
613,4680,2850,7180,1850,0.081,0.1081,0.0703,0.0316,0.0261,0.083,0.114,0.0898,0.0341,0.014,0.652,,0.0167,9,2,
614,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
615,7180,1850,10430,350,,,,,,,,,,,0,outside,0.0167,9,2,
616,10430,350,,,,,,,,,,,,,0,outside,0.0167,9,1,
617,10430,350,12680,600,,,,,,,,,,,0,outside,0.0167,9,2,
618,12680,600,,,,,,,,,,,,,0,outside,0.0167,9,1,
619,12680,600,9430,3600,,,,,,,,,,,0,outside,0.0167,9,2,
620,9430,3600,,,0.0152,0.0358,0.0839,0.0617,0.0348,0.0138,0.0252,0.0396,0.0383,0.0211,0.3694,,0.0167,9,1,
621,9430,3600,7930,1100,,,,,,,,,,,0,outside,0.0167,9,2,
622,7930,1100,,,,,,,,,,,,,0,outside,0.0167,9,1,
623,7930,1100,15180,4600,,,,,,,,,,,0,outside,0.0167,9,2,
624,15180,4600,,,,,,,,,,,,,0,outside,0.0167,9,1,
625,15180,4600,7430,3600,,,,,,,,,,,0,outside,0.0167,9,2,
626,7430,3600,,,0.0249,0.0665,0.077,0.0274,0.0254,0.021,0.0354,0.0369,0.0227,0.012,0.3492,,0.0167,9,1,
627,7430,3600,8430,4600,0.0359,0.102,0.2341,0.0558,0.0323,0.031,0.0514,0.0593,0.0387,0.0193,0.6598,,0.0167,9,2,
628,8430,4600,,,0.0184,0.0462,0.1657,0.0356,0.0272,0.0166,0.0246,0.0275,0.0226,0.0133,0.3977,,0.0167,9,1,
629,8430,4600,8180,3100,0.0262,0.0781,0.2227,0.0602,0.0324,0.0224,0.0462,0.0658,0.0436,0.02,0.6176,,0.0167,9,2,
630,8180,3100,,,0.0206,0.0469,0.0689,0.0341,0.0279,0.0194,0.0346,0.0464,0.0298,0.0148,0.3434,,0.0167,9,1,
631,8180,3100,4180,2350,0.0758,0.0977,0.091,0.0416,0.0297,0.0895,0.0932,0.0696,0.0374,0.0173,0.6428,,0.0167,9,2,
632,4180,2350,,,0.0608,0.0595,0.0286,0.0131,0.0214,0.0747,0.065,0.0272,0.0134,0,0.3637,,0.0167,9,1,
633,4180,2350,2180,600,0.1006,0.0857,0.0385,0.015,0.0206,0.2779,0.1069,0.0389,0.0157,0,0.6998,,0.0167,9,2,
634,2180,600,,,0.0454,0.0357,0.0179,0.0092,0.0197,0.2084,0.0487,0.0172,0.0096,0,0.4118,,0.0167,9,1,
635,2180,600,15430,4850,,,,,,,,,,,0,outside,0.0167,9,2,
636,15430,4850,,,,,,,,,,,,,0,outside,0.0167,9,1,
637,15430,4850,12180,2600,,,,,,,,,,,0,outside,0.0167,9,2,
638,12180,2600,,,0.0109,0.0185,0.0275,0.0668,0.0661,0.0103,0.0154,0.0266,0.0699,0.0617,0.3737,,0.0167,9,1,
639,12180,2600,180,350,,,,,,,,,,,0,outside,0.0167,9,2,
640,180,350,,,,,,,,,,,,,0,outside,0.0167,9,1,
641,180,350,6180,1350,,,,,,,,,,,0,outside,0.0167,9,2,
642,6180,1350,,,0.0286,0.0434,0.0319,0.0163,0.0224,0.0375,0.094,0.0521,0.0185,0.0088,0.3535,,0.0167,9,1,
643,6180,1350,3930,600,0.0647,0.0752,0.0477,0.0223,0.0232,0.1396,0.1735,0.0727,0.0248,0.0105,0.6542,,0.0167,9,2,
644,3930,600,,,0.0402,0.0389,0.0215,0.0111,0.0207,0.1045,0.0852,0.0241,0.0115,0,0.3577,,0.0167,9,1,
645,3930,600,15180,850,,,,,,,,,,,0,outside,0.0167,9,2,
646,15180,850,,,,,,,,,,,,,0,outside,0.0167,9,1,
647,15180,850,9430,3600,,,,,,,,,,,0,outside,0.0167,9,2,
648,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
649,9430,3600,4930,2850,0.0611,0.0922,0.1034,0.0674,0.0366,0.0586,0.0727,0.0625,0.045,0.0237,0.6232,,0.0167,9,2,
650,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
651,4930,2850,5180,1600,0.0912,0.1127,0.0605,0.0259,0.0226,0.1083,0.1462,0.0645,0.0261,0.0114,0.6694,,0.0167,9,2,
652,,,,,,,,,,,,,,,0,repeat,0.0167,9,1,
653,5180,1600,7180,1600,0.0611,0.0862,0.0668,0.0338,0.0265,0.0841,0.1531,0.1061,0.0377,0.016,0.6714,residual flow of 0.0161 in mfc10,0.0161,10,2,
654,7180,1600,,,0.0256,0.0437,0.0417,0.0235,0.0239,0.0288,0.0651,0.0724,0.0269,0.0121,0.3637,,0.0161,10,1,
655,7180,1600,1680,4850,,,,,,,,,,,0,outside,0.0161,10,2,
656,,,,,,,,,,,,,,,0,repeat,0.0161,10,1,
657,1680,4850,7180,600,,,,,,,,,,,0,outside,0.0161,10,2,
658,7180,600,,,0.0229,0.0365,0.0339,0.0206,0.0231,0.028,0.0797,0.0914,0.0252,0.0111,0.3724,,0.0161,10,1,
659,7180,600,9430,1600,0.0334,0.0614,0.0774,0.0618,0.0414,0.0393,0.1089,0.1913,0.0953,0.035,0.7452,,0.0161,10,2,
660,9430,1600,,,0.015,0.0287,0.0413,0.0382,0.033,0.0145,0.0298,0.0928,0.0596,0.0233,0.3762,,0.0161,10,1,
